Avg Pump Difference,Lateral Length,TVD,DELAYED,BOUND_CODE,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure,Imputed
22.29,11900,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.560853528,47,2895.781701,154.3,2045.250442,364.2,1.0
2.02,10100,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.495762089,102,2862.54691,211.7,2273.230704,694.7,1.0
-1.6,9800,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.497091697,101,2900.09162,158.9,2282.820439,710.3,1.0
35.92,12100,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.55510365,124,2679.837799,177.3,1772.547649,308.3,1.0
5.66,7600,9475.0,0,111000,3,2717.5,1301.0,2716.5,216.0,2480.0,2480.0,0,1870.0,883.0,1559.0,3475.0,3475.0,0,787.0,411.0,787.0,3,1263,858,689,-1.4,-1.5,10,0.575120123,59,3182.050596,138.9,2574.363601,548.0,1.0
22.17,12600,10675.0,1,11111000,1,1352.0,1235.0,1352.0,52.0,1377.0,1377.0,0,2468.0,1666.0,1653.0,2969.0,4331.0,27,1000.0,2528.0,1000.0,1,2181,1412,1228,-30.3,-30.5,4,0.493067694,48,3005.113167,133.9,2282.086287,517.5,1.0
1.4300000000000002,7600,9475.0,0,111000,3,2717.5,1301.0,2716.5,216.0,2480.0,2480.0,0,1870.0,883.0,1559.0,3475.0,3475.0,0,787.0,411.0,787.0,3,1263,858,689,-1.4,-1.5,10,0.577162336,124,3188.784956,153.3,2573.689381,522.2,1.0
21.61,12600,10675.0,1,11111000,1,1352.0,1235.0,1352.0,52.0,1377.0,1377.0,0,2468.0,1666.0,1653.0,2969.0,4331.0,27,1000.0,2528.0,1000.0,1,2181,1412,1228,-30.3,-30.5,4,0.493275362,120,2971.983301,112.4,2142.592613,376.5,1.0
29.69,12600,10675.0,1,11111000,2,2000.0,1091.0,2000.0,46.0,1457.0,1457.0,0,2514.0,1759.0,1629.0,2882.0,2248.0,26,1000.0,2489.0,1000.0,2,2587,1856,1531,7.1,33.0,9,0.490279015,185,2845.631012,105.7,2129.566772,363.4,1.0
16.52,9800,10585.0,1,11111000,1,2563.0,1290.0,2563.0,7.0,4448.0,4448.0,0,2695.0,1672.0,1936.0,4972.0,4490.0,31,932.0,475.0,932.0,1,1763,1763,9,26.7,40.0,3,0.535544531,148,3141.92177,277.2,1392.658407,214.7,1.0
-2.68,7500,8485.0,1,11111111,4,1374.0,623.0,1373.0,43.0,4002.0,4001.5,2,1870.0,1745.0,516.0,2019.0,1963.0,27,1298.0,321.0,1298.0,2,1073,890,396,1.2,1.0,5,0.566905359,37,3206.060085,141.6,3174.606856,387.9,0.0
26.71,9800,10580.0,1,11111000,1,2501.0,1209.0,2501.0,0.0,3655.0,3655.0,0,2566.0,1521.0,1883.0,5240.0,6326.0,28,932.0,475.0,932.0,1,1763,1763,8,-26.7,-40.0,3,0.531457553,216,3011.029665,188.6,1471.735591,235.3,1.0
34.34,9800,10580.0,1,11111000,1,2501.0,1209.0,2501.0,0.0,3655.0,3655.0,0,2566.0,1521.0,1883.0,5240.0,6326.0,28,932.0,475.0,932.0,1,1763,1763,8,-26.7,-40.0,3,0.528397333,283,3065.385433,287.3,1447.914205,221.2,1.0
-0.74,9800,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.599503194,108,2699.694344,1336.6,1388.785071,738.6,1.0
8.38,9900,8485.0,1,11111100,4,701.0,625.0,700.0,498.0,2484.0,2484.0,3,1677.0,1595.0,376.0,3242.0,2484.0,11,519.5,555.0,519.5,1,566,108,555,0.0,0.0,1,0.537465379,148,2720.173821,205.0,1779.642763,397.4,1.0
30.48,9900,8485.0,1,11111100,4,701.0,625.0,700.0,498.0,2484.0,2484.0,3,1677.0,1595.0,376.0,3242.0,2484.0,11,519.5,555.0,519.5,1,566,108,555,0.0,0.0,1,0.528623678,163,2698.622709,121.6,1642.325348,422.7,1.0
13.185,7500,8480.0,1,11110111,6,2618.0,508.0,2618.0,6.0,4002.0,4001.5,4,2141.0,1997.0,523.0,2559.0,1966.0,15,1297.0,305.0,1297.0,2,995,798,393,1.2,1.0,5,0.562309728,220,3082.436237,188.3,2862.491012,402.2,1.0
27.8,10000,8485.0,1,11111100,4,701.0,625.0,700.0,498.0,2484.0,2484.0,3,1677.0,1595.0,376.0,3242.0,2484.0,11,519.5,555.0,519.5,1,566,108,555,0.0,0.0,1,0.529695884,228,2602.510781,115.7,1705.952043,483.3,1.0
-3.75,10300,8485.0,1,11111100,4,701.0,625.0,700.0,498.0,2484.0,2484.0,3,1677.0,1595.0,376.0,3242.0,2484.0,11,519.5,555.0,519.5,1,566,108,555,0.0,0.0,1,0.528340498,358,3051.250581,338.4,2137.722016,435.6,1.0
-1.36,12700,8275.0,0,1110,2,2780.0,2486.0,2779.0,2471.0,2480.0,2480.0,0,2629.0,2606.0,276.0,1997.0,2000.0,0,846.0,581.0,846.0,2,1317,1180,291,3.5,3.5,6,0.578119357,157,3144.844132,171.1,2918.588565,1057.2,1.0
-2.27,12600,10315.0,1,11111000,0,2622.0,1211.0,2622.0,1.0,3698.0,3698.0,0,2601.0,1491.0,1933.0,3937.0,2974.0,36,1757.0,2184.5,1757.0,0,1761,1761,4,0.0,0.0,1,0.578508146,164,3139.15703,176.3,2437.832928,741.7,1.0
7.49,12700,10315.0,1,11111000,0,2622.0,1211.0,2622.0,1.0,1377.0,1377.0,0,2601.0,1491.0,1933.0,3937.0,2974.0,36,1757.0,2184.5,1757.0,0,1761,1761,4,0.0,0.0,1,0.574338272,260,3075.345848,147.2,2844.454398,791.7,1.0
11.63,10200,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,751.5,624.0,751.5,2,1074,790,626,0.7,1.0,3,0.543487253,211,3246.15202,144.1,3007.073721,426.5,1.0
-2.38,10300,9295.0,1,10001101,4,1832.0,540.0,1823.0,356.0,4726.0,4725.5,2,1829.0,1786.0,221.0,4076.0,3999.0,9,542.0,627.0,541.0,2,586,437,277,1.0,1.0,2,0.538644008,367,3406.343871,157.1,2644.198823,336.7,0.0
33.8,10300,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.535104953,528,3009.242955,124.5,2425.083694,361.8,1.0
-1.2,10300,8485.0,1,11111100,4,701.0,625.0,700.0,498.0,2484.0,2484.0,3,1677.0,1595.0,376.0,3242.0,2484.0,11,519.5,555.0,519.5,1,566,108,555,0.0,0.0,1,0.5329029385,123,3441.765756,234.3,2362.696429,980.0,1.0
1.58,10100,8650.0,1,11011111,6,2143.0,496.0,2142.5,9.0,4190.0,4190.0,6,1679.0,1488.0,617.0,4118.0,4166.0,19,1200.0,371.0,1200.0,0,1217,1217,4,0.0,0.0,1,0.560550671,15,3545.666018,170.7,2878.360677,279.1,1.0
0.1,9900,8650.0,1,11011111,6,2143.0,496.0,2142.5,9.0,4190.0,4190.0,6,1679.0,1488.0,617.0,4118.0,4166.0,19,1200.0,371.0,1200.0,0,1217,1217,4,0.0,0.0,1,0.561165108,29,3545.595491,238.5,2777.491166,336.1,1.0
2.87,8200,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.557316247,53,3411.085879,264.4,2875.21182,820.7,1.0
6.98,7400,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.536369705,28,3278.712697,183.6,3035.88471,389.3,1.0
0.4,7400,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.53899411,36,3167.211166,211.0,2956.639677,562.8,1.0
60.35,7400,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.515083309,99,2842.276922,191.0,2334.65693,453.8,1.0
26.48,8200,9495.0,1,11101001,6,892.0,669.0,888.0,632.0,1997.0,1996.5,2,1947.0,1923.0,219.0,1706.0,1996.5,8,864.0,340.0,864.0,4,1389,1137,602,0.9,1.5,14,0.547561566,132,3391.551227,207.3,2901.845333,756.3,0.0
25.11,8200,8755.0,0,11101001,4,1893.0,1515.0,1892.0,1501.0,3132.0,3131.75,0,2340.0,2335.0,134.0,3816.0,4040.0,6,858.0,461.0,858.0,4,682,419,388,1.5,1.5,4,0.548127593,211,3385.92728,285.2,2977.532359,966.7,1.0
22.57,10000,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.55091589,393,2793.152774,208.9,2435.512097,966.9,1.0
24.645,9800,10545.0,1,11111000,0,1059.0,1272.0,1059.0,0.0,637.0,637.0,0,2628.0,1774.0,1733.0,5196.0,6229.5,24,1672.0,475.0,1672.0,0,1672,1672,17,0.0,0.0,1,0.500517285,62,2803.374275,551.1,1554.261093,218.6,1.0
57.13,10000,10550.0,1,11110000,0,2781.0,1253.0,2781.0,0.0,5111.0,5111.0,0,2518.0,1570.0,1754.0,5091.0,5363.0,18,1763.0,1187.5,1763.0,0,1792,1791,23,0.0,0.0,1,0.499729856,136,2903.189111,148.9,1572.188565,274.0,1.0
24.68,9800,10545.0,1,11111000,0,1059.0,1272.0,1059.0,0.0,637.0,637.0,0,2628.0,1774.0,1733.0,5196.0,6229.5,24,1672.0,475.0,1672.0,0,1672,1672,17,0.0,0.0,1,0.512255381,132,3079.502378,458.1,1542.878646,201.4,1.0
-0.46,9900,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.562230068,387,3203.4199575000002,193.2,1958.012228,393.3,1.0
49.95,10400,9070.0,1,10101111,3,1286.0,511.0,1276.0,2.0,4955.0,4955.0,1,2105.0,2022.0,451.0,3089.0,2813.0,27,670.0,659.0,660.0,2,665,330,388,-0.5,-0.5,2,0.492984227,98,2956.58701,196.5,2377.513451,637.3,0.0
13.184999999999999,9900,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.562928571,435,3397.59696,261.9,2263.980877,370.3,1.0
18.09,9900,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.554517436,155,3503.145764,287.0,2588.412089,679.6,1.0
26.83,10000,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,633.5,624.0,633.5,2,1074,790,626,0.7,1.0,3,0.553024696,113,3340.95279,198.0,2544.943509,409.5,1.0
72.63,10600,9070.0,1,10101111,3,1286.0,511.0,1276.0,2.0,4955.0,4955.0,1,2105.0,2022.0,451.0,3089.0,2813.0,27,670.0,659.0,660.0,2,665,330,388,-0.5,-0.5,2,0.490793908,99,2810.163763,209.0,1716.51506,372.9,0.0
5.73,9700,10075.0,1,11110000,1,2356.0,1139.0,2356.0,22.0,4623.0,4623.0,0,2510.0,1419.0,1888.0,5509.0,4808.0,26,1021.0,375.0,1021.0,1,1050,1050,5,0.0,0.0,1,0.57073975,35,2688.771443,185.2,2235.463224,441.3,1.0
5.14,9700,8765.0,0,11001000,4,757.0,2701.0,756.0,2634.0,4697.0,4697.0,1,2332.0,2317.0,165.0,2953.0,2884.0,4,893.0,635.0,893.0,3,1294,1153,368,1.2,1.0,5,0.570989915,107,2677.106456,158.3,2569.850589,480.7,0.0
1.47,10200,8175.0,1,10101111,7,1157.0,573.0,1155.0,75.0,5423.0,5689.0,6,2009.0,1621.0,937.0,4763.0,4605.5,26,1344.0,263.0,1343.0,1,958,876,175,0.7,1.0,3,0.518512647,50,2983.398776,182.9,2805.494621,556.9,0.0
86.53,10200,8175.0,1,10101111,7,1157.0,573.0,1155.0,75.0,5423.0,5689.0,6,2009.0,1621.0,937.0,4763.0,4605.5,26,1344.0,263.0,1343.0,1,958,876,175,0.7,1.0,3,0.485850131,48,2585.168365,198.1,2318.978438,617.4,0.0
38.63,10200,8175.0,1,10101111,7,1157.0,573.0,1155.0,75.0,5423.0,5689.0,6,2009.0,1621.0,937.0,4763.0,4605.5,26,1344.0,263.0,1343.0,1,958,876,175,0.7,1.0,3,0.504243436,124,2784.2835704999998,190.5,2696.502663,927.1,1.0
9.41,7400,10175.0,1,11111000,1,1933.0,1041.0,1698.0,17.0,1289.0,1289.0,1,2273.0,1469.0,1544.0,1375.0,1495.5,20,1249.0,2571.0,1249.0,0,2641,2327,970,6.7,3.0,9,0.486643219,28,3030.600808,122.8,2894.154482,380.2,1.0
4.52,7500,10175.0,1,11111000,1,1933.0,1041.0,1698.0,17.0,1289.0,1289.0,1,2273.0,1469.0,1544.0,1375.0,1495.5,20,1249.0,2571.0,1249.0,0,2641,2327,970,6.7,3.0,9,0.488415961,88,2960.748549,150.7,2804.015668,481.0,1.0
15.09,7500,8775.0,1,11101000,6,1607.0,219.0,1606.0,10.0,1368.0,1367.5,4,1791.0,1682.0,378.0,2282.0,1390.5,14,696.0,340.0,695.0,2,721,721,7,-0.5,-0.5,2,0.484584082,100,3064.953528,205.3,3064.953528,340.1,1.0
25.29,15300,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,736.0,624.0,736.0,2,1074,790,626,0.7,1.0,3,0.503955815,123,3295.453913,241.3,2522.626225,396.5,1.0
29.13,15300,8985.0,1,11111101,4,736.0,843.0,734.0,214.0,2496.0,2495.5,2,1938.0,1622.0,767.0,2031.0,2437.0,18,736.0,624.0,736.0,2,1074,790,626,0.7,1.0,3,0.501580903,134,3480.775229,225.4,2574.593043,195.1,1.0
29.48,12400,8330.0,1,10001111,5,1518.5,673.0,1513.5,143.0,3699.0,3704.0,3,1925.0,1456.0,1085.0,3334.0,3688.0,18,932.0,646.0,932.0,2,1340,1324,134,1.5,1.5,4,0.498599038,233,2768.887457,215.6,2371.409781,351.0,1.0
13.205,10100,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.514748458,47,2756.766649,188.4,2073.483878,380.3,1.0
